file_path,filename,category,true_label,true_malware_type,true_obfuscation,pred_label,pred_malware_type,pred_subtype,pred_obfuscation,pred_confidence,pred_risk_level,indicators,reason,parse_error,latency_ms,total_tokens,prompt_tokens,completion_tokens,correct
data\samples\benign\flask_examples___init__.py,flask_examples___init__.py,benign,benign,none,none,benign,none,Flask Celery 应用工厂,none,0.98,none,,标准的 Flask 应用工厂与 Celery 初始化代码，无危险函数调用、无外部输入执行、无混淆,,2514,1627,1499,128,1
data\samples\benign\flask_examples___init___1.py,flask_examples___init___1.py,benign,benign,none,none,benign,none,Flask应用工厂模式,none,0.99,none,,代码为 Flask 官方教程的工厂模式，无危险函数调用，os.makedirs 仅创建目录，路由返回静态字符串,,2340,1743,1585,158,1
data\samples\benign\flask_examples___init___2.py,flask_examples___init___2.py,benign,benign,none,none,benign,none,Flask框架初始化代码,none,0.99,none,,代码为 Flask 框架的模块导入与重导出，无危险函数调用，是正常框架代码,,1428,1828,1716,112,1
data\samples\benign\flask_examples___init___3.py,flask_examples___init___3.py,benign,benign,none,none,benign,none,Flask框架JSON工具模块,none,0.99,none,,Flask 框架的 JSON 序列化模块，包含 dumps/dump/loads/load/jsonify 等标准功能，无危险函数调用,,1671,2850,2694,156,1
data\samples\benign\flask_examples_auth.py,flask_examples_auth.py,benign,benign,none,none,benign,none,框架认证代码,none,0.98,none,,Flask 框架的典型认证模块，使用参数化查询，无危险函数调用,,2248,2149,1953,196,1
data\samples\benign\flask_examples_blog.py,flask_examples_blog.py,benign,benign,none,none,benign,none,Flask博客应用,none,0.98,none,,正常的Flask博客CRUD代码，所有数据库操作均使用参数化查询，无危险函数或用户输入直接执行,,1546,2169,2053,116,1
data\samples\benign\flask_examples_blueprints.py,flask_examples_blueprints.py,benign,benign,none,none,benign,none,Flask框架蓝图类,none,0.98,none,,该代码为 Flask 框架的 Blueprint 类定义，包含常规的文件资源读取功能，无危险函数调用，输入来自框架调用而非直接用户输入，无恶意行为,,2860,2569,2328,241,1
data\samples\benign\flask_examples_blueprints_1.py,flask_examples_blueprints_1.py,benign,benign,none,none,benign,none,Flask框架蓝图实现,none,0.98,none,,Flask 框架核心代码，实现 Blueprint 注册和路由功能，无危险函数调用,,1604,7577,7434,143,1
data\samples\benign\flask_examples_config.py,flask_examples_config.py,benign,benign,none,none,benign,none,Flask框架配置管理,none,0.95,none,,此代码是 Flask 框架中的 Config 类实现，用于加载配置文件。exec 仅用于执行受信任的配置文件内容，且输入路径由框架内部控制，无恶意行为。,,2090,4385,4223,162,1
data\samples\benign\flask_examples_ctx.py,flask_examples_ctx.py,benign,benign,none,none,benign,none,Flask框架上下文管理代码,none,0.99,none,,代码为 Flask 框架的 AppContext 和装饰器实现，包含正常的业务逻辑，无危险函数或恶意行为,,1904,5615,5476,139,1
