file_path,filename,category,subcategory,label,language,file_size
data\samples\benign\flask_examples___init__.py,flask_examples___init__.py,benign,flask,0,Python,1024
data\samples\benign\flask_examples___init___1.py,flask_examples___init___1.py,benign,flask,0,Python,1406
data\samples\benign\flask_examples___init___2.py,flask_examples___init___2.py,benign,flask,0,Python,2072
data\samples\benign\flask_examples___init___3.py,flask_examples___init___3.py,benign,flask,0,Python,5583
data\samples\benign\flask_examples_auth.py,flask_examples_auth.py,benign,flask,0,Python,3296
data\samples\benign\flask_examples_blog.py,flask_examples_blog.py,benign,flask,0,Python,3305
data\samples\benign\flask_examples_blueprints.py,flask_examples_blueprints.py,benign,flask,0,Python,4541
data\samples\benign\flask_examples_blueprints_1.py,flask_examples_blueprints_1.py,benign,flask,0,Python,27017
data\samples\benign\flask_examples_config.py,flask_examples_config.py,benign,flask,0,Python,13219
data\samples\benign\flask_examples_ctx.py,flask_examples_ctx.py,benign,flask,0,Python,18261
data\samples\benign\flask_examples_db.py,flask_examples_db.py,benign,flask,0,Python,1317
data\samples\benign\flask_examples_debughelpers.py,flask_examples_debughelpers.py,benign,flask,0,Python,6070
data\samples\benign\flask_examples_globals.py,flask_examples_globals.py,benign,flask,0,Python,2414
data\samples\benign\flask_examples_helpers.py,flask_examples_helpers.py,benign,flask,0,Python,24637
data\samples\benign\flask_examples_logging.py,flask_examples_logging.py,benign,flask,0,Python,2377
data\samples\benign\flask_examples_make_celery.py,flask_examples_make_celery.py,benign,flask,0,Python,102
data\samples\benign\flask_examples_provider.py,flask_examples_provider.py,benign,flask,0,Python,7644
data\samples\benign\flask_examples_sessions.py,flask_examples_sessions.py,benign,flask,0,Python,14969
data\samples\benign\flask_examples_signals.py,flask_examples_signals.py,benign,flask,0,Python,750
data\samples\benign\flask_examples_tag.py,flask_examples_tag.py,benign,flask,0,Python,9281
data\samples\benign\flask_examples_tasks.py,flask_examples_tasks.py,benign,flask,0,Python,484
data\samples\benign\flask_examples_templating.py,flask_examples_templating.py,benign,flask,0,Python,7336
data\samples\benign\flask_examples_testing.py,flask_examples_testing.py,benign,flask,0,Python,10114
data\samples\benign\flask_examples_typing.py,flask_examples_typing.py,benign,flask,0,Python,3114
data\samples\benign\flask_examples_views.py,flask_examples_views.py,benign,flask,0,Python,954
data\samples\benign\flask_examples_views_1.py,flask_examples_views_1.py,benign,flask,0,Python,429
data\samples\benign\flask_examples_views_2.py,flask_examples_views_2.py,benign,flask,0,Python,6962
data\samples\benign\flask_examples_wrappers.py,flask_examples_wrappers.py,benign,flask,0,Python,9406
data\samples\benign\laravel_AnonymousEvent.php,laravel_AnonymousEvent.php,benign,laravel,0,PHP,3376
data\samples\benign\laravel_Attempting.php,laravel_Attempting.php,benign,laravel,0,PHP,476
data\samples\benign\laravel_AuthManager.php,laravel_AuthManager.php,benign,laravel,0,PHP,9002
data\samples\benign\laravel_AuthServiceProvider.php,laravel_AuthServiceProvider.php,benign,laravel,0,PHP,3110
data\samples\benign\laravel_Authenticatable.php,laravel_Authenticatable.php,benign,laravel,0,PHP,2171
data\samples\benign\laravel_Authenticate.php,laravel_Authenticate.php,benign,laravel,0,PHP,3315
data\samples\benign\laravel_AuthenticateWithBasicAuth.php,laravel_AuthenticateWithBasicAuth.php,benign,laravel,0,PHP,1349
data\samples\benign\laravel_Authenticated.php,laravel_Authenticated.php,benign,laravel,0,PHP,436
data\samples\benign\laravel_AuthenticationException.php,laravel_AuthenticationException.php,benign,laravel,0,PHP,1831
data\samples\benign\laravel_AuthorizationException.php,laravel_AuthorizationException.php,benign,laravel,0,PHP,2236
data\samples\benign\laravel_Authorize.php,laravel_Authorize.php,benign,laravel,0,PHP,2682
data\samples\benign\laravel_BroadcastController.php,laravel_BroadcastController.php,benign,laravel,0,PHP,1238
data\samples\benign\laravel_BroadcastEvent.php,laravel_BroadcastEvent.php,benign,laravel,0,PHP,6108
data\samples\benign\laravel_BroadcastManager.php,laravel_BroadcastManager.php,benign,laravel,0,PHP,15753
data\samples\benign\laravel_BroadcastServiceProvider.php,laravel_BroadcastServiceProvider.php,benign,laravel,0,PHP,1136
data\samples\benign\laravel_CacheTokenRepository.php,laravel_CacheTokenRepository.php,benign,laravel,0,PHP,3602
data\samples\benign\laravel_CanResetPassword.php,laravel_CanResetPassword.php,benign,laravel,0,PHP,625
data\samples\benign\laravel_Channel.php,laravel_Channel.php,benign,laravel,0,PHP,707
data\samples\benign\laravel_ClearResetsCommand.php,laravel_ClearResetsCommand.php,benign,laravel,0,PHP,858
data\samples\benign\laravel_CreatesUserProviders.php,laravel_CreatesUserProviders.php,benign,laravel,0,PHP,2485
data\samples\benign\laravel_CurrentDeviceLogout.php,laravel_CurrentDeviceLogout.php,benign,laravel,0,PHP,442
data\samples\benign\laravel_DatabaseTokenRepository.php,laravel_DatabaseTokenRepository.php,benign,laravel,0,PHP,5351
data\samples\benign\laravel_DatabaseUserProvider.php,laravel_DatabaseUserProvider.php,benign,laravel,0,PHP,5628
data\samples\benign\laravel_EloquentUserProvider.php,laravel_EloquentUserProvider.php,benign,laravel,0,PHP,7674
data\samples\benign\laravel_EncryptedPrivateChannel.php,laravel_EncryptedPrivateChannel.php,benign,laravel,0,PHP,291
data\samples\benign\laravel_EnsureEmailIsVerified.php,laravel_EnsureEmailIsVerified.php,benign,laravel,0,PHP,1191
data\samples\benign\laravel_Failed.php,laravel_Failed.php,benign,laravel,0,PHP,528
data\samples\benign\laravel_FakePendingBroadcast.php,laravel_FakePendingBroadcast.php,benign,laravel,0,PHP,754
data\samples\benign\laravel_Gate.php,laravel_Gate.php,benign,laravel,0,PHP,26878
data\samples\benign\laravel_GateEvaluated.php,laravel_GateEvaluated.php,benign,laravel,0,PHP,969
data\samples\benign\laravel_GenericUser.php,laravel_GenericUser.php,benign,laravel,0,PHP,2739
data\samples\benign\laravel_GuardHelpers.php,laravel_GuardHelpers.php,benign,laravel,0,PHP,2498
data\samples\benign\laravel_HandlesAuthorization.php,laravel_HandlesAuthorization.php,benign,laravel,0,PHP,1345
data\samples\benign\laravel_InteractsWithBroadcasting.php,laravel_InteractsWithBroadcasting.php,benign,laravel,0,PHP,931
data\samples\benign\laravel_InteractsWithSockets.php,laravel_InteractsWithSockets.php,benign,laravel,0,PHP,669
data\samples\benign\laravel_Lockout.php,laravel_Lockout.php,benign,laravel,0,PHP,408
data\samples\benign\laravel_Login.php,laravel_Login.php,benign,laravel,0,PHP,532
data\samples\benign\laravel_Logout.php,laravel_Logout.php,benign,laravel,0,PHP,429
data\samples\benign\laravel_MustVerifyEmail.php,laravel_MustVerifyEmail.php,benign,laravel,0,PHP,1212
data\samples\benign\laravel_OtherDeviceLogout.php,laravel_OtherDeviceLogout.php,benign,laravel,0,PHP,459
data\samples\benign\laravel_PasswordBroker.php,laravel_PasswordBroker.php,benign,laravel,0,PHP,7352
data\samples\benign\laravel_PasswordBrokerManager.php,laravel_PasswordBrokerManager.php,benign,laravel,0,PHP,4220
data\samples\benign\laravel_PasswordReset.php,laravel_PasswordReset.php,benign,laravel,0,PHP,337
data\samples\benign\laravel_PasswordResetLinkSent.php,laravel_PasswordResetLinkSent.php,benign,laravel,0,PHP,355
data\samples\benign\laravel_PasswordResetServiceProvider.php,laravel_PasswordResetServiceProvider.php,benign,laravel,0,PHP,1010
data\samples\benign\laravel_PendingBroadcast.php,laravel_PendingBroadcast.php,benign,laravel,0,PHP,1549
data\samples\benign\laravel_Recaller.php,laravel_Recaller.php,benign,laravel,0,PHP,1858
data\samples\benign\laravel_RedirectIfAuthenticated.php,laravel_RedirectIfAuthenticated.php,benign,laravel,0,PHP,2403
data\samples\benign\laravel_Registered.php,laravel_Registered.php,benign,laravel,0,PHP,348
data\samples\benign\laravel_RequestGuard.php,laravel_RequestGuard.php,benign,laravel,0,PHP,2126
data\samples\benign\laravel_RequirePassword.php,laravel_RequirePassword.php,benign,laravel,0,PHP,2935
data\samples\benign\laravel_ResetPassword.php,laravel_ResetPassword.php,benign,laravel,0,PHP,3565
data\samples\benign\laravel_Response.php,laravel_Response.php,benign,laravel,0,PHP,4364
data\samples\benign\laravel_SendEmailVerificationNotification.php,laravel_SendEmailVerificationNotification.php,benign,laravel,0,PHP,526
data\samples\benign\laravel_SessionGuard.php,laravel_SessionGuard.php,benign,laravel,0,PHP,29591
data\samples\benign\laravel_TokenGuard.php,laravel_TokenGuard.php,benign,laravel,0,PHP,3288
data\samples\benign\laravel_TokenRepositoryInterface.php,laravel_TokenRepositoryInterface.php,benign,laravel,0,PHP,1217
data\samples\benign\laravel_Validated.php,laravel_Validated.php,benign,laravel,0,PHP,465
data\samples\benign\laravel_Verified.php,laravel_Verified.php,benign,laravel,0,PHP,341
data\samples\benign\laravel_VerifyEmail.php,laravel_VerifyEmail.php,benign,laravel,0,PHP,3330
data\samples\benign\thinkphp_App.php,thinkphp_App.php,benign,thinkphp,0,PHP,21971
data\samples\benign\thinkphp_Argument.php,thinkphp_Argument.php,benign,thinkphp,0,PHP,3037
data\samples\benign\thinkphp_Ask.php,thinkphp_Ask.php,benign,thinkphp,0,PHP,9862
data\samples\benign\thinkphp_Autoload.php,thinkphp_Autoload.php,benign,thinkphp,0,PHP,10580
data\samples\benign\thinkphp_Build.php,thinkphp_Build.php,benign,thinkphp,0,PHP,8185
data\samples\benign\thinkphp_Build_1.php,thinkphp_Build_1.php,benign,thinkphp,0,PHP,1783
data\samples\benign\thinkphp_Cache.php,thinkphp_Cache.php,benign,thinkphp,0,PHP,6246
data\samples\benign\thinkphp_Clear.php,thinkphp_Clear.php,benign,thinkphp,0,PHP,2060
data\samples\benign\thinkphp_Collection.php,thinkphp_Collection.php,benign,thinkphp,0,PHP,11153
data\samples\benign\thinkphp_Command.php,thinkphp_Command.php,benign,thinkphp,0,PHP,10912
data\samples\benign\thinkphp_Config.php,thinkphp_Config.php,benign,thinkphp,0,PHP,6540
data\samples\benign\thinkphp_Config_1.php,thinkphp_Config_1.php,benign,thinkphp,0,PHP,3329
data\samples\benign\thinkphp_Console_1.php,thinkphp_Console_1.php,benign,thinkphp,0,PHP,23678
data\samples\benign\thinkphp_Controller.php,thinkphp_Controller.php,benign,thinkphp,0,PHP,6208
data\samples\benign\thinkphp_Controller_1.php,thinkphp_Controller_1.php,benign,thinkphp,0,PHP,1631
data\samples\benign\thinkphp_Cookie.php,thinkphp_Cookie.php,benign,thinkphp,0,PHP,7997
data\samples\benign\thinkphp_Db.php,thinkphp_Db.php,benign,thinkphp,0,PHP,6830
