file_path,filename,category,true_label,true_malware_type,true_obfuscation,pred_label,pred_malware_type,pred_subtype,pred_obfuscation,pred_confidence,pred_risk_level,indicators,reason,parse_error,latency_ms,total_tokens,prompt_tokens,completion_tokens,correct
data\samples\benign\flask_examples___init__.py,flask_examples___init__.py,benign,benign,none,none,benign,none,Flask + Celery 正常应用工厂代码,none,0.95,none,,该代码是 Flask 应用工厂模式，配置并初始化 Celery 异步任务，包含常规路由注册，无危险函数或恶意行为,,5641,2058,1499,559,1
data\samples\benign\flask_examples___init___1.py,flask_examples___init___1.py,benign,benign,none,none,benign,none,Flask应用工厂,none,0.98,none,,标准 Flask 应用工厂模式，仅使用文件路径操作和路由注册，无危险函数调用,,2594,1714,1585,129,1
data\samples\benign\flask_examples___init___2.py,flask_examples___init___2.py,benign,benign,none,none,benign,none,框架导入代码,none,0.95,none,,这是 Flask 框架的模块导出，仅包含正常的导入和赋值操作，无恶意行为,,2762,1831,1716,115,1
data\samples\benign\flask_examples___init___3.py,flask_examples___init___3.py,benign,benign,none,none,benign,none,Flask 框架 JSON 序列化工具,none,0.98,none,,代码为 Flask 框架标准 JSON 序列化/反序列化模块，包含 dump/load 等正常文件操作，但无危险函数执行、命令注入或命令执行，参数受控，属正常业务逻辑,,3594,2967,2694,273,1
data\samples\benign\flask_examples_auth.py,flask_examples_auth.py,benign,benign,none,none,benign,none,Flask认证模块,none,0.98,none,,该代码为 Flask 框架的认证蓝图，包含注册、登录、登出功能，使用参数化查询防止 SQL 注入，密码哈希处理，无恶意行为,,2705,2082,1953,129,1
data\samples\benign\flask_examples_blog.py,flask_examples_blog.py,benign,benign,none,none,benign,none,正常Flask博客应用,none,0.98,none,,标准的Flask蓝本路由代码，使用参数化SQL查询，无危险函数或恶意行为,,2014,2215,2053,162,1
data\samples\benign\flask_examples_blueprints.py,flask_examples_blueprints.py,benign,benign,none,none,benign,none,Flask框架Blueprint类,none,0.99,none,,Flask框架的Blueprint类实现，包含静态文件发送、资源打开等常规方法，无危险函数调用或混淆,,1643,2466,2328,138,1
data\samples\benign\flask_examples_blueprints_1.py,flask_examples_blueprints_1.py,benign,benign,none,none,benign,none,Flask框架蓝图模块代码,none,0.98,none,,这是Flask框架的标准Blueprint实现，包含路由注册、模板过滤器、错误处理等正常功能，未发现任何恶意行为或危险函数调用,,2785,7712,7434,278,1
data\samples\benign\flask_examples_config.py,flask_examples_config.py,benign,benign,none,none,benign,none,Flask框架配置类,none,0.98,none,exec; compile,代码是 Flask 框架中 Config 类的标准实现，包含 exec 用于加载配置文件，但输入来源为文件且开发人员可控，无非法外部输入或危险行为,,3013,4461,4223,238,1
data\samples\benign\flask_examples_ctx.py,flask_examples_ctx.py,benign,benign,none,none,benign,none,Flask框架核心库,none,0.99,none,,这是 Flask 框架的 ctx.py 模块代码，包含应用上下文管理、请求上下文管理等正常功能，无任何恶意执行、命令调用或敏感操作,,1707,5607,5476,131,1
data\samples\benign\flask_examples_db.py,flask_examples_db.py,benign,benign,none,none,benign,none,Flask数据库初始化模块,none,0.95,none,,Flask 应用的标准数据库管理代码，包含连接、关闭、初始化和 CLI 命令，无危险函数或用户输入执行,,2163,1719,1572,147,1
data\samples\benign\flask_examples_debughelpers.py,flask_examples_debughelpers.py,benign,benign,none,none,benign,none,Flask调试辅助代码,none,0.98,none,,Flask框架内部调试工具代码，用于模板加载错误信息展示，无用户输入执行或危险函数调用,,1528,2845,2720,125,1
data\samples\benign\flask_examples_globals.py,flask_examples_globals.py,benign,benign,none,none,benign,none,Flask框架全局变量模块,none,0.98,none,,这是 Flask 框架中 globals.py 的标准代码，用于管理应用上下文和请求上下文代理，无危险函数调用,,2019,2028,1890,138,1
data\samples\benign\flask_examples_helpers.py,flask_examples_helpers.py,benign,benign,none,none,benign,none,Flask框架辅助函数模块,none,0.98,none,,该代码为Flask框架的helpers模块，包含正常的辅助函数（如redirect、abort、send_file等），虽然涉及环境变量和文件操作，但均为框架合法功能，无恶意行为,,2252,7398,7233,165,1
data\samples\benign\flask_examples_logging.py,flask_examples_logging.py,benign,benign,none,none,benign,none,Flask日志模块,none,0.95,none,,Flask 框架的日志配置代码，正常使用 logging/sys 模块，无危险函数或外部输入执行,,2401,2058,1866,192,1
data\samples\benign\flask_examples_make_celery.py,flask_examples_make_celery.py,benign,benign,none,none,benign,none,Flask应用初始化,none,0.95,none,,标准Flask应用工厂初始化及Celery扩展获取，无危险函数调用,,1620,1391,1278,113,1
