file_path,filename,category,true_label,true_malware_type,true_obfuscation,pred_label,pred_malware_type,pred_subtype,pred_obfuscation,pred_confidence,pred_risk_level,indicators,reason,parse_error,latency_ms,total_tokens,prompt_tokens,completion_tokens,correct
data\samples\benign\flask_examples___init__.py,flask_examples___init__.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples___init___1.py,flask_examples___init___1.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples___init___2.py,flask_examples___init___2.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples___init___3.py,flask_examples___init___3.py,benign,benign,none,none,malicious,webshell,,none,0.9,high,SQL注入: comment_injection,"规则匹配触发 1 条规则, SQL注入: comment_injection",,0,0,0,0,0
data\samples\benign\flask_examples_auth.py,flask_examples_auth.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_blog.py,flask_examples_blog.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_blueprints.py,flask_examples_blueprints.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_blueprints_1.py,flask_examples_blueprints_1.py,benign,benign,none,none,benign,none,,none,0.1,none,文件操作函数,"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
data\samples\benign\flask_examples_config.py,flask_examples_config.py,benign,benign,none,none,malicious,webshell,,none,1.0,high,exec(); exec(),"规则匹配触发 2 条规则, exec(), exec()",,0,0,0,0,0
data\samples\benign\flask_examples_ctx.py,flask_examples_ctx.py,benign,benign,none,none,benign,none,,none,0.1,none,文件操作函数,"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
data\samples\benign\flask_examples_db.py,flask_examples_db.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_debughelpers.py,flask_examples_debughelpers.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_globals.py,flask_examples_globals.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_helpers.py,flask_examples_helpers.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_logging.py,flask_examples_logging.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_make_celery.py,flask_examples_make_celery.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_provider.py,flask_examples_provider.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_sessions.py,flask_examples_sessions.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_signals.py,flask_examples_signals.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_tag.py,flask_examples_tag.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_tasks.py,flask_examples_tasks.py,benign,benign,none,none,malicious,sqli,,none,0.9,high,SQL注入: time_blind,"规则匹配触发 1 条规则, SQL注入: time_blind",,0,0,0,0,0
data\samples\benign\flask_examples_templating.py,flask_examples_templating.py,benign,benign,none,none,benign,none,,none,0.0,none,,未匹配到任何恶意特征规则,,0,0,0,0,1
data\samples\benign\flask_examples_testing.py,flask_examples_testing.py,benign,benign,none,none,benign,none,,none,0.1,none,文件操作函数,"检测到低风险特征 (1 个), 未达到恶意判定阈值",,0,0,0,0,1
