分析维度,文件名,Run A/DS标签,Run B/Qwen标签,Run C标签,真实标签,类别,A置信度,B置信度
同策略(A vs B),tennc_webshell_vbencode-bypass.asp,malicious,benign,,malicious,webshell,0.75,0.6
同策略(A vs B),tennc_webshell_spexec.aspx,unknown,malicious,,malicious,webshell,0.0,0.75
跨策略(FS vs CoT),johnTroony_php_webshells_Ayyildiz_Tim_string_split.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),tennc_webshell_shell-2021-03-18_comment_bypass.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),tennc_webshell_shell2020-12-06_comment_bypass.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),johnTroony_php_webshells_fatal_comment_bypass.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),tennc_webshell_shell-2021-04-23.php,malicious,unknown,,malicious,webshell,,
跨策略(FS vs CoT),tennc_webshell_vbencode-bypass.asp,benign,unknown,,malicious,webshell,,
跨策略(FS vs CoT),johnTroony_php_webshells_cpanel.php,malicious,unknown,,malicious,webshell,,
跨策略(FS vs CoT),johnTroony_php_webshells_h4ntu_shell_base64.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),tennc_webshell_spexec.aspx,malicious,unknown,,malicious,webshell,,
跨策略(FS vs CoT),tennc_webshell_bypass01_xor.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),tennc_webshell_shell-2021-04-23_base64.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),johnTroony_php_webshells_Antichat_Shell_xor.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),tennc_webshell_radhat.asp,malicious,unknown,,malicious,webshell,,
跨策略(FS vs CoT),johnTroony_php_webshells_GRP_WebShell_base64.php,malicious,unknown,,malicious,obfuscated,,
跨策略(FS vs CoT),tennc_webshell_proxy.py,malicious,benign,,malicious,webshell,,
