file_path,filename,category,true_label,true_malware_type,true_obfuscation,pred_label,pred_malware_type,pred_subtype,pred_obfuscation,pred_confidence,pred_risk_level,indicators,reason,parse_error,latency_ms,total_tokens,prompt_tokens,completion_tokens,correct
data\samples\benign\flask_examples___init__.py,flask_examples___init__.py,benign,benign,none,none,benign,none,Flask 应用工厂与 Celery 集成代码,none,0.98,none,,代码为标准的 Flask 应用工厂模式，集成 Celery 异步任务配置，无危险函数调用，无用户输入到达执行点，无混淆，无恶意行为,,6891,1634,956,678,1
data\samples\benign\flask_examples___init___1.py,flask_examples___init___1.py,benign,benign,none,none,benign,none,正常 Flask 应用工厂代码,none,0.99,none,,代码为 Flask 应用工厂模式，仅包含配置、路由和蓝图注册，无用户输入处理，无危险函数调用，无混淆技术，属于正常业务代码。,,4052,1522,1042,480,1
data\samples\benign\flask_examples___init___2.py,flask_examples___init___2.py,benign,benign,none,none,benign,none,正常框架初始化文件,none,0.99,none,,代码为 Flask 框架的 __init__.py 模块，仅包含正常导入语句，无危险函数调用、无用户输入处理、无混淆技术，属良性代码。,,5820,1859,1173,686,1
data\samples\benign\flask_examples___init___3.py,flask_examples___init___3.py,benign,benign,none,none,benign,none,Flask 框架 JSON 序列化工具模块,none,1.0,none,,代码为 Flask 框架的标准 JSON 工具接口，仅封装标准库 json 与 Flask JSON Provider，无任何危险函数调用、无用户输入到危险函数的路径、无混淆特征，属于正常业务/框架代码。,,7675,3024,2151,873,1
data\samples\benign\flask_examples_auth.py,flask_examples_auth.py,benign,benign,none,none,benign,none,正常Flask认证模块,none,1.0,none,,代码为Flask官方教程中的认证模块，使用参数化查询，无危险函数和混淆，属于正常业务逻辑,,8546,2485,1410,1075,1
data\samples\benign\flask_examples_blog.py,flask_examples_blog.py,benign,benign,none,none,benign,none,标准 Flask 博客应用示例代码,none,0.99,none,,代码为 Flask 官方教程中的博客蓝图，仅执行常规数据库 CRUD 操作。所有 SQL 查询均使用参数化绑定，用户输入被安全传入，未调用任何危险函数或系统命令，无混淆痕迹，判定为良性代码。,,8786,2543,1510,1033,1
data\samples\benign\flask_examples_blueprints.py,flask_examples_blueprints.py,benign,benign,none,none,benign,none,正常 Flask 框架代码，蓝图资源管理,none,1.0,none,,代码为 Flask 框架 Blueprint 类的正常实现，包含只读文件操作和静态文件发送功能。未发现 eval/system/exec 等危险函数，用户输入不可达命令执行点，且无任何混淆、SQL 注入或后门特征。,,11742,3121,1785,1336,1
data\samples\benign\flask_examples_blueprints_1.py,flask_examples_blueprints_1.py,benign,benign,none,none,benign,none,良性框架代码（Flask Blueprint 模块）,none,0.99,none,,该代码为 Flask 框架的 Blueprint 模块实现，包含蓝图注册、路由添加、模板过滤器/测试/全局函数注册等正常功能，无外部输入到危险函数的调用链，未发现任何恶意行为或混淆技术。,,9336,7944,6891,1053,1
data\samples\benign\flask_examples_config.py,flask_examples_config.py,benign,benign,none,none,benign,none,Flask 配置管理模块,none,0.97,low,exec; compile; import_string; os.environ,代码为 Flask 框架的 Config 类实现，通过 exec 加载配置文件是框架标准功能，输入来源为开发者控制的文件路径或环境变量，无直接用户输入可到达危险函数，也未发现混淆或恶意行为。,,12901,5061,3680,1381,1
data\samples\benign\flask_examples_ctx.py,flask_examples_ctx.py,benign,benign,none,none,benign,none,良性框架代码（Flask 应用上下文管理模块）,none,0.99,none,,代码为 Flask 框架标准上下文管理模块，无 eval/exec/system 等危险函数调用，无用户输入流向敏感操作，无混淆手段，未发现 webshell、backdoor 或 sqli 特征。,,13432,6343,4933,1410,1
data\samples\benign\flask_examples_db.py,flask_examples_db.py,benign,benign,none,none,benign,none,Flask SQLite 数据库管理模块,none,0.99,none,,代码为 Flask 应用中正常的数据库连接与初始化逻辑，无外部用户输入流向危险函数，无命令执行或文件操作后门，无混淆特征。executescript 执行的是应用自带 schema.sql，输入受控。,,6981,1768,1029,739,1
data\samples\benign\flask_examples_debughelpers.py,flask_examples_debughelpers.py,benign,benign,none,none,benign,none,Flask 框架调试辅助模块，提供错误信息增强和模板加载诊断,none,1.0,none,,代码为 Flask 框架内部调试工具，无危险函数调用，无用户输入到达执行点，无混淆手法，属于正常框架代码。,,7043,2929,2177,752,1
data\samples\benign\flask_examples_globals.py,flask_examples_globals.py,benign,benign,none,none,benign,none,正常 Flask 框架全局上下文代理模块,none,1.0,none,,代码为 Flask 框架 globals.py 的标准实现，仅使用 ContextVar 和 LocalProxy 定义全局上下文代理，无任何危险函数调用，无外部输入，无混淆手段，不属于恶意代码。,,5393,1944,1347,597,1
